msg size,write,read
10,1.94,1.98
20,1.95,1.99
30,1.94,1.99
40,1.95,1.99
50,1.96,2.00
60,1.96,2.00
70,1.98,2.00
80,1.97,2.00
90,1.97,2.01
100,1.97,2.01
110,1.97,2.01
120,1.99,2.12
130,1.99,2.03
140,1.99,2.04
150,1.98,2.04
160,1.99,2.04
170,1.99,2.04
180,2.00,2.15
190,2.00,2.04
200,2.00,2.05
210,1.99,2.05
220,1.99,2.05
230,2.01,2.05
240,2.00,2.05
250,2.02,2.16
260,2.01,2.06
270,2.01,2.06
280,2.01,2.06
290,2.02,2.06
300,2.00,2.06
310,2.01,2.16
320,2.01,2.07
330,2.03,2.07
340,2.04,2.07
350,2.01,2.07
360,2.02,2.07
370,2.03,2.19
380,2.02,2.08
390,2.03,2.08
400,2.03,2.08
410,2.03,2.09
420,2.03,2.09
430,2.04,2.09
440,2.03,2.18
450,2.05,2.09
460,2.03,2.09
470,2.04,2.09
480,2.04,2.10
490,2.04,2.10
500,2.08,2.22
510,2.07,2.11
520,2.08,2.11
530,2.07,2.11
540,2.07,2.12
550,2.07,2.11
560,2.08,2.11
570,2.09,2.27
580,2.10,2.12
590,2.08,2.12
600,2.10,2.12
610,2.10,2.15
620,2.10,2.13
630,2.10,2.28
640,2.11,2.14
650,2.10,2.14
660,2.10,2.14
670,2.11,2.14
680,2.13,2.15
690,2.12,2.28
700,2.11,2.15
710,2.12,2.16
720,2.12,2.16
730,2.12,2.16
740,2.25,2.16
750,2.35,2.28
760,2.32,2.37
770,2.10,2.21
780,2.10,2.15
790,2.10,2.15
800,2.10,2.15
810,2.10,2.15
820,2.11,2.28
830,2.13,2.16
840,2.11,2.16
850,2.11,2.16
860,2.11,2.18
870,2.33,2.25
880,2.35,2.29
890,2.37,2.37
900,2.36,2.29
910,2.35,2.30
920,2.36,2.29
930,2.36,2.30
940,2.37,2.30
950,2.36,2.40
960,2.37,2.31
970,2.36,2.30
980,2.37,2.31
990,2.37,2.31
1000,2.37,2.31
1010,2.38,2.39
1020,2.38,2.31
1030,2.44,2.36
1040,2.44,2.36
1050,2.44,2.40
1060,2.44,2.40
1070,2.44,2.36
1080,2.44,2.42
1090,2.44,2.43
1100,2.44,2.37
1110,2.44,2.37
1120,2.44,2.36
1130,2.48,2.40
1140,2.49,2.41
1150,2.45,2.37
1160,2.44,2.40
1170,2.44,2.40
1180,2.45,2.42
